route_short_name,route_long_name,route_type,route_id,agency_id
,108DOWN,3,0,DIMTS
,108STLDOWN,3,1,DIMTS
,108STLUP,3,2,DIMTS
,108UP,3,3,DIMTS
,185DOWN,3,4,DIMTS
,185LNKSTLDOWN,3,5,DIMTS
,185LNKSTLUP,3,6,DIMTS
,185STLDOWN,3,7,DIMTS
,185STLUP,3,8,DIMTS
,185UP,3,9,DIMTS
,234CL_DOWN,3,10,DIMTS
,234CL_UP,3,11,DIMTS
,262DOWN,3,12,DIMTS
,262LINKSTLDOWN,3,13,DIMTS
,262LINKSTLUP,3,14,DIMTS
,262UP,3,15,DIMTS
,78DOWN,3,16,DIMTS
,78STLDOWN,3,17,DIMTS
,78STLUP,3,18,DIMTS
,78UP,3,19,DIMTS
,7LNKSTLDOWN,3,20,DIMTS
,7LNKSTLUP,3,21,DIMTS
,813CLDOWN,3,22,DIMTS
,813CLUP,3,23,DIMTS
,813LNKSTLDOWN,3,24,DIMTS
,813LNKSTLUP,3,25,DIMTS
,937ADOWN,3,26,DIMTS
,937AUP,3,27,DIMTS
,982LNKSTLDOWN,3,28,DIMTS
,982LNKSTLUP,3,29,DIMTS
,185LSTL2DOWN,3,30,DIMTS
,185LSTL2UP,3,31,DIMTS
,185LSTLDOWN,3,32,DIMTS
,185LSTLUP,3,33,DIMTS
,206ADOWN,3,34,DIMTS
,206AUP,3,35,DIMTS
,211DOWN,3,36,DIMTS
,211UP,3,37,DIMTS
,253DOWN,3,38,DIMTS
,253UP,3,39,DIMTS
,258DOWN,3,40,DIMTS
,258STLDOWN,3,41,DIMTS
,258STLUP,3,42,DIMTS
,258UP,3,43,DIMTS
,348DOWN,3,44,DIMTS
,348UP,3,45,DIMTS
,971LNKSTLDOWN,3,46,DIMTS
,971LNKSTLUP,3,47,DIMTS
,578ADOWN,3,48,DIMTS
,578AUP,3,49,DIMTS
,578DOWN,3,50,DIMTS
,578LSTLDOWN,3,51,DIMTS
,578LSTLUP,3,52,DIMTS
,578UP,3,53,DIMTS
,708_DOWN,3,54,DIMTS
,708_UP,3,55,DIMTS
,708ADOWN,3,56,DIMTS
,708AUP,3,57,DIMTS
,719ADOWN,3,58,DIMTS
,719AUP,3,59,DIMTS
,719DOWN,3,60,DIMTS
,719STLDOWN,3,61,DIMTS
,719STLUP,3,62,DIMTS
,719UP,3,63,DIMTS
,720DOWN,3,64,DIMTS
,720UP,3,65,DIMTS
,723DOWN,3,66,DIMTS
,723UP,3,67,DIMTS
,743ADOWN,3,68,DIMTS
,743ASTLUP,3,69,DIMTS
,743AUP,3,70,DIMTS
,743DOWN,3,71,DIMTS
,743STLDOWN,3,72,DIMTS
,743STLUP,3,73,DIMTS
,743UP,3,74,DIMTS
,745ADOWN,3,75,DIMTS
,745DOWN,3,76,DIMTS
,745EUP,3,77,DIMTS
,745STLDOWN,3,78,DIMTS
,745STLUP,3,79,DIMTS
,745UP,3,80,DIMTS
,753DOWN,3,81,DIMTS
,753UP,3,82,DIMTS
,764DOWN,3,83,DIMTS
,764MPSTLDOWN,3,84,DIMTS
,764MPSTLUP,3,85,DIMTS
,764MVSTLDOWN,3,86,DIMTS
,764MVSTLUP,3,87,DIMTS
,764SDOWN,3,88,DIMTS
,764SUP,3,89,DIMTS
,764UP,3,90,DIMTS
,770ADOWN,3,91,DIMTS
,770ALTDDOWN,3,92,DIMTS
,770ALTDUP,3,93,DIMTS
,770AUP,3,94,DIMTS
,770BDOWN,3,95,DIMTS
,770BUP,3,96,DIMTS
,774DOWN,3,97,DIMTS
,774STLDOWN,3,98,DIMTS
,774STLUP,3,99,DIMTS
,774UP,3,100,DIMTS
,775ADOWN,3,101,DIMTS
,775AUP,3,102,DIMTS
,778DOWN,3,103,DIMTS
,778UP,3,104,DIMTS
,790+825UP,3,105,DIMTS
,790+876UP,3,106,DIMTS
,790ADOWN,3,107,DIMTS
,790AUP,3,108,DIMTS
,790BDOWN,3,109,DIMTS
,790BUP,3,110,DIMTS
,790DOWN,3,111,DIMTS
,790UP,3,112,DIMTS
,824SSTLDOWN,3,113,DIMTS
,824SSTLUP,3,114,DIMTS
,824STLDOWN,3,115,DIMTS
,824STLUP,3,116,DIMTS
,825+790DOWN,3,117,DIMTS
,825STLDOWN,3,118,DIMTS
,825STLUP,3,119,DIMTS
,836AUP,3,120,DIMTS
,836DOWN,3,121,DIMTS
,836LSTLDOWN,3,122,DIMTS
,836LSTLUP,3,123,DIMTS
,836STLDOWN,3,124,DIMTS
,836STLUP,3,125,DIMTS
,836UP,3,126,DIMTS
,838ADOWN,3,127,DIMTS
,838DOWN,3,128,DIMTS
,838UP,3,129,DIMTS
,840DOWN,3,130,DIMTS
,840STLDOWN,3,131,DIMTS
,840STLUP,3,132,DIMTS
,840UP,3,133,DIMTS
,876+790DOWN,3,134,DIMTS
,876STLDOWN,3,135,DIMTS
,876STLUP,3,136,DIMTS
,878_DOWN,3,137,DIMTS
,878_UP,3,138,DIMTS
,878+578LTD_DOWN,3,139,DIMTS
,878+578LTD_UP,3,140,DIMTS
,878STLDOWN,3,141,DIMTS
,878STLUP,3,142,DIMTS
,891DOWN,3,143,DIMTS
,891STLDOWN,3,144,DIMTS
,891STLUP,3,145,DIMTS
,891UP,3,146,DIMTS
,893DOWN,3,147,DIMTS
,893UP,3,148,DIMTS
,911ADOWN,3,149,DIMTS
,911AUP,3,150,DIMTS
,978STLDOWN,3,151,DIMTS
,LTD_UP,3,152,DIMTS
,239DOWN,3,153,DIMTS
,239UP,3,154,DIMTS
,311ADOWN,3,155,DIMTS
,311AUP,3,156,DIMTS
,336ADOWN,3,157,DIMTS
,336AUP,3,158,DIMTS
,33LNKSTLDOWN,3,159,DIMTS
,33LNKSTLUP,3,160,DIMTS
,33LSTLDOWN,3,161,DIMTS
,33LSTLUP,3,162,DIMTS
,534DOWN,3,163,DIMTS
,534UP,3,164,DIMTS
,543ADOWN,3,165,DIMTS
,543AUP,3,166,DIMTS
,611BDOWN,3,167,DIMTS
,611BUP,3,168,DIMTS
,611DOWN,3,169,DIMTS
,611UP,3,170,DIMTS
,623DOWN,3,171,DIMTS
,623EXT UP,3,172,DIMTS
,623EXTDN,3,173,DIMTS
,623UP,3,174,DIMTS
,GL23DOWN,3,175,DIMTS
,GL23UP,3,176,DIMTS
,578STLDOWN,3,177,DIMTS
,578STLUP,3,178,DIMTS
,588DOWN,3,179,DIMTS
,588UP,3,180,DIMTS
,711DOWN,3,181,DIMTS
,711UP,3,182,DIMTS
,712DOWN,3,183,DIMTS
,712UP,3,184,DIMTS
,724DOWN,3,185,DIMTS
,724EXTUP,3,186,DIMTS
,724UP,3,187,DIMTS
,728ADOWN,3,188,DIMTS
,728AUP,3,189,DIMTS
,728EDOWN,3,190,DIMTS
,728EUP,3,191,DIMTS
,728STLUP,3,192,DIMTS
,729DOWN,3,193,DIMTS
,729UP,3,194,DIMTS
,740EXTDOWN,3,195,DIMTS
,740EXTUP,3,196,DIMTS
,761DOWN,3,197,DIMTS
,761UP,3,198,DIMTS
,764LINKSTLDN,3,199,DIMTS
,764LNKSTLUP,3,200,DIMTS
,807ADOWN,3,201,DIMTS
,807AUP,3,202,DIMTS
,808DOWN,3,203,DIMTS
,808UP,3,204,DIMTS
,810DOWN,3,205,DIMTS
,810UP,3,206,DIMTS
,816ADOWN,3,207,DIMTS
,816AUP,3,208,DIMTS
,816DOWN,3,209,DIMTS
,816EXTDOWN,3,210,DIMTS
,816UP,3,211,DIMTS
,817ADOWN,3,212,DIMTS
,817AUP,3,213,DIMTS
,817BDOWN,3,214,DIMTS
,817BUP,3,215,DIMTS
,817DOWN,3,216,DIMTS
,817LNKSTLDOWN,3,217,DIMTS
,817LNKSTLUP,3,218,DIMTS
,817UP,3,219,DIMTS
,824LNKSTLDOWN,3,220,DIMTS
,824LNKSTLUP,3,221,DIMTS
,827LNKSTLUP,3,222,DIMTS
,827STLDOWN,3,223,DIMTS
,827STLUP,3,224,DIMTS
,832DOWN,3,225,DIMTS
,832LINKSTLDOWN,3,226,DIMTS
,832LINKSTLUP,3,227,DIMTS
,832UP,3,228,DIMTS
,833ADOWN,3,229,DIMTS
,833AUP,3,230,DIMTS
,833LNKSTLDOWN,3,231,DIMTS
,833LNKSTLUP,3,232,DIMTS
,835DOWN,3,233,DIMTS
,835STLDOWN,3,234,DIMTS
,835STLUP,3,235,DIMTS
,835UP,3,236,DIMTS
,850DOWN,3,237,DIMTS
,850EDOWN,3,238,DIMTS
,850LTDDOWN,3,239,DIMTS
,850LTDUP,3,240,DIMTS
,850STLDOWN,3,241,DIMTS
,850STLUP,3,242,DIMTS
,850UP,3,243,DIMTS
,874DOWN,3,244,DIMTS
,874UP,3,245,DIMTS
,883ADOWN,3,246,DIMTS
,883B_LTD_DOWN,3,247,DIMTS
,883DOWN,3,248,DIMTS
,883EXTDOWN,3,249,DIMTS
,883EXTUP,3,250,DIMTS
,883UP,3,251,DIMTS
,972DOWN,3,252,DIMTS
,972EXTDOWN,3,253,DIMTS
,972EXTUP,3,254,DIMTS
,972UP,3,255,DIMTS
,978ADOWN,3,256,DIMTS
,978AUP,3,257,DIMTS
,978EDOWN,3,258,DIMTS
,978EUP,3,259,DIMTS
,114+990_DN,3,260,DIMTS
,114+990_UP,3,261,DIMTS
,114+990E_D,3,262,DIMTS
,114+990E_U,3,263,DIMTS
,114ST+901D,3,264,DIMTS
,182ACLSTLU,3,265,DIMTS
,219EXTDOWN,3,266,DIMTS
,219EXTUP,3,267,DIMTS
,219STLDOWN,3,268,DIMTS
,219STLUP,3,269,DIMTS
,234CLEDOWN,3,270,DIMTS
,234CLEUP,3,271,DIMTS
,901CLDOWN,3,272,DIMTS
,901CLUP,3,273,DIMTS
,901DOWN,3,274,DIMTS
,901STLCLUP,3,275,DIMTS
,901UP,3,276,DIMTS
,921CLDOWN,3,277,DIMTS
,921CLUP,3,278,DIMTS
,921EUP,3,279,DIMTS
,921STLUP,3,280,DIMTS
,927EXTDOWN,3,281,DIMTS
,927EXTUP,3,282,DIMTS
,927STLDOWN,3,283,DIMTS
,927STLUP,3,284,DIMTS
,929ADOWN,3,285,DIMTS
,929AUP,3,286,DIMTS
,929DOWN,3,287,DIMTS
,929LSTLDOWN,3,288,DIMTS
,929LSTLUP,3,289,DIMTS
,929UP,3,290,DIMTS
,938ACLDOWN,3,291,DIMTS
,938ACLUP,3,292,DIMTS
,938LINKSTLUP,3,293,DIMTS
,938LNKSTLDOWN,3,294,DIMTS
,962EXTCLDN,3,295,DIMTS
,962EXTCLUP,3,296,DIMTS
,962STLDOWN,3,297,DIMTS
,962STLUP,3,298,DIMTS
